rows 17, coloumns 9
put 0 at x:12, y: 2
put 1 at x:13, y: 2
put 1 at x:14, y: 2
put 1 at x:0, y: 3
put 1 at x:1, y: 3
put 1 at x:2, y: 3
put   at x:3, y: 3
put   at x:4, y: 3
put 0 at x:5, y: 3
put 0 at x:6, y: 3
put 0 at x:7, y: 3
put 0 at x:8, y: 3
put 0 at x:9, y: 3
put 0 at x:10, y: 3
put 0 at x:11, y: 3
put 0 at x:12, y: 3
put 0 at x:13, y: 3
put 1 at x:14, y: 3
put 1 at x:15, y: 3
put 1 at x:0, y: 4
put 1 at x:1, y: 4
put 0 at x:2, y: 4
put 0 at x:3, y: 4
put N at x:4, y: 4
put 0 at x:5, y: 4
put 0 at x:6, y: 4
put 0 at x:7, y: 4
put 1 at x:8, y: 4
put 1 at x:9, y: 4
put 0 at x:10, y: 4
put 0 at x:11, y: 4
put 0 at x:12, y: 4
put 0 at x:13, y: 4
put 1 at x:14, y: 4
put 1 at x:15, y: 4
put 1 at x:0, y: 5
put 1 at x:1, y: 5
put 0 at x:2, y: 5
put 0 at x:3, y: 5
put 0 at x:4, y: 5
put 0 at x:5, y: 5
put 1 at x:6, y: 5
put 0 at x:7, y: 5
put 1 at x:8, y: 5
put 1 at x:9, y: 5
put 0 at x:10, y: 5
put 0 at x:11, y: 5
put 0 at x:12, y: 5
put 0 at x:13, y: 5
put 0 at x:14, y: 5
put 1 at x:15, y: 5
put 1 at x:0, y: 6
put 1 at x:1, y: 6
put 0 at x:2, y: 6
put 0 at x:3, y: 6
put 1 at x:4, y: 6
put 0 at x:5, y: 6
put 0 at x:6, y: 6
put 1 at x:7, y: 6
put 1 at x:8, y: 6
put 0 at x:9, y: 6
put 0 at x:10, y: 6
put 0 at x:11, y: 6
put 0 at x:12, y: 6
put 0 at x:13, y: 6
put 1 at x:14, y: 6
put 0 at x:15, y: 6
put 1 at x:0, y: 7
put 1 at x:1, y: 7
put 1 at x:2, y: 7
put 1 at x:3, y: 7
put 1 at x:4, y: 7
put 1 at x:5, y: 7
put 1 at x:6, y: 7
put 1 at x:7, y: 7
put 1 at x:8, y: 7
put 1 at x:9, y: 7
put 1 at x:10, y: 7
put 1 at x:11, y: 7
put 1 at x:12, y: 7
put 1 at x:13, y: 7
put 1 at x:0, y: 8
put 1 at x:1, y: 8
put 1 at x:2, y: 8
put 1 at x:3, y: 8
put 1 at x:4, y: 8
put 1 at x:5, y: 8
put 1 at x:6, y: 8
put 1 at x:7, y: 8
put 1 at x:8, y: 8
put 1 at x:9, y: 8
put 1 at x:10, y: 8
put 1 at x:11, y: 8
put 1 at x:12, y: 8
finished parsing
X: 155.000000
Y: 260.000000
put 1 at x:0, y: 0
put 1 at x:1, y: 0
put 1 at x:2, y: 0
put 1 at x:3, y: 0
put 1 at x:4, y: 0
put 1 at x:5, y: 0
put 1 at x:6, y: 0
put 1 at x:7, y: 0
put 1 at x:8, y: 0
put 1 at x:9, y: 0
put 1 at x:0, y: 1
put 1 at x:1, y: 1
put 0 at x:2, y: 1
put 0 at x:3, y: 1
put 1 at x:4, y: 1
put 0 at x:5, y: 1
put 0 at x:6, y: 1
put 0 at x:7, y: 1
put 0 at x:8, y: 1
put 0 at x:9, y: 1
put 0 at x:10, y: 1
put 0 at x:11, y: 1
put 0 at x:12, y: 1
put 1 at x:13, y: 1
put 1 at x:14, y: 1
put 0 at x:0, y: 2
put 1 at x:1, y: 2
put 1 at x:2, y: 2
put 1 at x:3, y: 2
put 1 at x:4, y: 2
put 1 at x:5, y: 2
put 1 at x:6, y: 2
put 1 at x:7, y: 2
put 1 at x:8, y: 2
put 1 at x:9, y: 2
put 0 at x:10, y: 2
put 0 at x:11, y: 2
put 0 at x:12, y: 2
put 1 at x:13, y: 2
put 1 at x:14, y: 2
put 1 at x:0, y: 3
put 1 at x:1, y: 3
put 1 at x:2, y: 3
put   at x:3, y: 3
put   at x:4, y: 3
put 0 at x:5, y: 3
put 0 at x:6, y: 3
put 0 at x:7, y: 3
put 0 at x:8, y: 3
put 0 at x:9, y: 3
put 0 at x:10, y: 3
put 0 at x:11, y: 3
put 0 at x:12, y: 3
put 0 at x:13, y: 3
put 1 at x:14, y: 3
put 1 at x:15, y: 3
put 1 at x:0, y: 4
put 1 at x:1, y: 4
put 0 at x:2, y: 4
put 0 at x:3, y: 4
put N at x:4, y: 4
put 0 at x:5, y: 4
put 0 at x:6, y: 4
put 0 at x:7, y: 4
put 1 at x:8, y: 4
put 1 at x:9, y: 4
put 0 at x:10, y: 4
put 0 at x:11, y: 4
put 0 at x:12, y: 4
put 0 at x:13, y: 4
put 1 at x:14, y: 4
put 1 at x:15, y: 4
put 1 at x:0, y: 5
put 1 at x:1, y: 5
put 0 at x:2, y: 5
put 0 at x:3, y: 5
put 0 at x:4, y: 5
put 0 at x:5, y: 5
put 1 at x:6, y: 5
put 0 at x:7, y: 5
put 1 at x:8, y: 5
put 1 at x:9, y: 5
put 0 at x:10, y: 5
put 0 at x:11, y: 5
put 0 at x:12, y: 5
put 0 at x:13, y: 5
put 0 at x:14, y: 5
put 1 at x:15, y: 5
put 1 at x:0, y: 6
put 1 at x:1, y: 6
put 0 at x:2, y: 6
put 0 at x:3, y: 6
put 1 at x:4, y: 6
put 0 at x:5, y: 6
put 0 at x:6, y: 6
put 1 at x:7, y: 6
put 1 at x:8, y: 6
put 0 at x:9, y: 6
put 0 at x:10, y: 6
put 0 at x:11, y: 6
put 0 at x:12, y: 6
put 0 at x:13, y: 6
put 1 at x:14, y: 6
put 0 at x:15, y: 6
put 1 at x:0, y: 7
put 1 at x:1, y: 7
put 1 at x:2, y: 7
put 1 at x:3, y: 7
put 1 at x:4, y: 7
put 1 at x:5, y: 7
put 1 at x:6, y: 7
put 1 at x:7, y: 7
put 1 at x:8, y: 7
put 1 at x:9, y: 7
put 1 at x:10, y: 7
put 1 at x:11, y: 7
put 1 at x:12, y: 7
put 1 at x:13, y: 7
put 1 at x:0, y: 8
put 1 at x:1, y: 8
put 1 at x:2, y: 8
put 1 at x:3, y: 8
put 1 at x:4, y: 8
put 1 at x:5, y: 8
put 1 at x:6, y: 8
put 1 at x:7, y: 8
put 1 at x:8, y: 8
put 1 at x:9, y: 8
put 1 at x:10, y: 8
put 1 at x:11, y: 8
put 1 at x:12, y: 8
finished parsing
X: 155.000000
Y: 275.000000
put 1 at x:0, y: 0
put 1 at x:1, y: 0
put 1 at x:2, y: 0
put 1 at x:3, y: 0
put 1 at x:4, y: 0
put 1 at x:5, y: 0
put 1 at x:6, y: 0
put 1 at x:7, y: 0
put 1 at x:8, y: 0
put 1 at x:9, y: 0
put 1 at x:0, y: 1
put 1 at x:1, y: 1
put 0 at x:2, y: 1
put 0 at x:3, y: 1
put 1 at x:4, y: 1
put 0 at x:5, y: 1
put 0 at x:6, y: 1
put 0 at x:7, y: 1
put 0 at x:8, y: 1
put 0 at x:9, y: 1
put 0 at x:10, y: 1
put 0 at x:11, y: 1
put 0 at x:12, y: 1
put 1 at x:13, y: 1
put 1 at x:14, y: 1
put 0 at x:0, y: 2
put 1 at x:1, y: 2
put 1 at x:2, y: 2
put 1 at x:3, y: 2
put 1 at x:4, y: 2
put 1 at x:5, y: 2
put 1 at x:6, y: 2
put 1 at x:7, y: 2
put 1 at x:8, y: 2
put 1 at x:9, y: 2
put 0 at x:10, y: 2
put 0 at x:11, y: 2
put 0 at x:12, y: 2
put 1 at x:13, y: 2
put 1 at x:14, y: 2
put 1 at x:0, y: 3
put 1 at x:1, y: 3
put 1 at x:2, y: 3
put   at x:3, y: 3
put   at x:4, y: 3
put 0 at x:5, y: 3
put 0 at x:6, y: 3
put 0 at x:7, y: 3
put 0 at x:8, y: 3
put 0 at x:9, y: 3
put 0 at x:10, y: 3
put 0 at x:11, y: 3
put 0 at x:12, y: 3
put 0 at x:13, y: 3
put 1 at x:14, y: 3
put 1 at x:15, y: 3
put 1 at x:0, y: 4
put 1 at x:1, y: 4
put 0 at x:2, y: 4
put 0 at x:3, y: 4
put N at x:4, y: 4
put 0 at x:5, y: 4
put 0 at x:6, y: 4
put 0 at x:7, y: 4
put 1 at x:8, y: 4
put 1 at x:9, y: 4
put 0 at x:10, y: 4
put 0 at x:11, y: 4
put 0 at x:12, y: 4
put 0 at x:13, y: 4
put 1 at x:14, y: 4
put 1 at x:15, y: 4
put 1 at x:0, y: 5
put 1 at x:1, y: 5
put 0 at x:2, y: 5
put 0 at x:3, y: 5
put 0 at x:4, y: 5
put 0 at x:5, y: 5
put 1 at x:6, y: 5
put 0 at x:7, y: 5
put 1 at x:8, y: 5
put 1 at x:9, y: 5
put 0 at x:10, y: 5
put 0 at x:11, y: 5
put 0 at x:12, y: 5
put 0 at x:13, y: 5
put 0 at x:14, y: 5
put 1 at x:15, y: 5
put 1 at x:0, y: 6
put 1 at x:1, y: 6
put 0 at x:2, y: 6
put 0 at x:3, y: 6
put 1 at x:4, y: 6
put 0 at x:5, y: 6
put 0 at x:6, y: 6
put 1 at x:7, y: 6
put 1 at x:8, y: 6
put 0 at x:9, y: 6
put 0 at x:10, y: 6
put 0 at x:11, y: 6
put 0 at x:12, y: 6
put 0 at x:13, y: 6
put 1 at x:14, y: 6
put 0 at x:15, y: 6
put 1 at x:0, y: 7
put 1 at x:1, y: 7
put 1 at x:2, y: 7
put 1 at x:3, y: 7
put 1 at x:4, y: 7
put 1 at x:5, y: 7
put 1 at x:6, y: 7
put 1 at x:7, y: 7
put 1 at x:8, y: 7
put 1 at x:9, y: 7
put 1 at x:10, y: 7
put 1 at x:11, y: 7
put 1 at x:12, y: 7
put 1 at x:13, y: 7
put 1 at x:0, y: 8
put 1 at x:1, y: 8
put 1 at x:2, y: 8
put 1 at x:3, y: 8
put 1 at x:4, y: 8
put 1 at x:5, y: 8
put 1 at x:6, y: 8
put 1 at x:7, y: 8
put 1 at x:8, y: 8
put 1 at x:9, y: 8
put 1 at x:10, y: 8
put 1 at x:11, y: 8
put 1 at x:12, y: 8
finished parsing
X: 170.000000
Y: 275.000000
put 1 at x:0, y: 0
put 1 at x:1, y: 0
put 1 at x:2, y: 0
put 1 at x:3, y: 0
put 1 at x:4, y: 0
put 1 at x:5, y: 0
put 1 at x:6, y: 0
put 1 at x:7, y: 0
put 1 at x:8, y: 0
put 1 at x:9, y: 0
put 1 at x:0, y: 1
put 1 at x:1, y: 1
put 0 at x:2, y: 1
put 0 at x:3, y: 1
put 1 at x:4, y: 1
put 0 at x:5, y: 1
put 0 at x:6, y: 1
put 0 at x:7, y: 1
put 0 at x:8, y: 1
put 0 at x:9, y: 1
put 0 at x:10, y: 1
put 0 at x:11, y: 1
put 0 at x:12, y: 1
put 1 at x:13, y: 1
put 1 at x:14, y: 1
put 0 at x:0, y: 2
put 1 at x:1, y: 2
put 1 at x:2, y: 2
put 1 at x:3, y: 2
put 1 at x:4, y: 2
put 1 at x:5, y: 2
put 1 at x:6, y: 2
put 1 at x:7, y: 2
put 1 at x:8, y: 2
put 1 at x:9, y: 2
put 0 at x:10, y: 2
put 0 at x:11, y: 2
put 0 at x:12, y: 2
put 1 at x:13, y: 2
put 1 at x:14, y: 2
put 1 at x:0, y: 3
put 1 at x:1, y: 3
put 1 at x:2, y: 3
put   at x:3, y: 3
put   at x:4, y: 3
put 0 at x:5, y: 3
put 0 at x:6, y: 3
put 0 at x:7, y: 3
put 0 at x:8, y: 3
put 0 at x:9, y: 3
put 0 at x:10, y: 3
put 0 at x:11, y: 3
put 0 at x:12, y: 3
put 0 at x:13, y: 3
put 1 at x:14, y: 3
put 1 at x:15, y: 3
put 1 at x:0, y: 4
put 1 at x:1, y: 4
put 0 at x:2, y: 4
put 0 at x:3, y: 4
put N at x:4, y: 4
put 0 at x:5, y: 4
put 0 at x:6, y: 4
put 0 at x:7, y: 4
put 1 at x:8, y: 4
put 1 at x:9, y: 4
put 0 at x:10, y: 4
put 0 at x:11, y: 4
put 0 at x:12, y: 4
put 0 at x:13, y: 4
put 1 at x:14, y: 4
put 1 at x:15, y: 4
put 1 at x:0, y: 5
put 1 at x:1, y: 5
put 0 at x:2, y: 5
put 0 at x:3, y: 5
put 0 at x:4, y: 5
put 0 at x:5, y: 5
put 1 at x:6, y: 5
put 0 at x:7, y: 5
put 1 at x:8, y: 5
put 1 at x:9, y: 5
put 0 at x:10, y: 5
put 0 at x:11, y: 5
put 0 at x:12, y: 5
put 0 at x:13, y: 5
put 0 at x:14, y: 5
put 1 at x:15, y: 5
put 1 at x:0, y: 6
put 1 at x:1, y: 6
put 0 at x:2, y: 6
put 0 at x:3, y: 6
put 1 at x:4, y: 6
put 0 at x:5, y: 6
put 0 at x:6, y: 6
put 1 at x:7, y: 6
put 1 at x:8, y: 6
put 0 at x:9, y: 6
put 0 at x:10, y: 6
put 0 at x:11, y: 6
put 0 at x:12, y: 6
put 0 at x:13, y: 6
put 1 at x:14, y: 6
put 0 at x:15, y: 6
put 1 at x:0, y: 7
put 1 at x:1, y: 7
put 1 at x:2, y: 7
put 1 at x:3, y: 7
put 1 at x:4, y: 7
put 1 at x:5, y: 7
put 1 at x:6, y: 7
put 1 at x:7, y: 7
put 1 at x:8, y: 7
put 1 at x:9, y: 7
put 1 at x:10, y: 7
put 1 at x:11, y: 7
put 1 at x:12, y: 7
put 1 at x:13, y: 7
put 1 at x:0, y: 8
put 1 at x:1, y: 8
put 1 at x:2, y: 8
put 1 at x:3, y: 8
put 1 at x:4, y: 8
put 1 at x:5, y: 8
put 1 at x:6, y: 8
put 1 at x:7, y: 8
put 1 at x:8, y: 8
put 1 at x:9, y: 8
put 1 at x:10, y: 8
put 1 at x:11, y: 8
put 1 at x:12, y: 8
finished parsing
X: 170.000000
Y: 290.000000
put 1 at x:0, y: 0
put 1 at x:1, y: 0
put 1 at x:2, y: 0
put 1 at x:3, y: 0
put 1 at x:4, y: 0
put 1 at x:5, y: 0
put 1 at x:6, y: 0
put 1 at x:7, y: 0
put 1 at x:8, y: 0
put 1 at x:9, y: 0
put 1 at x:0, y: 1
put 1 at x:1, y: 1
put 0 at x:2, y: 1
put 0 at x:3, y: 1
put 1 at x:4, y: 1
put 0 at x:5, y: 1
put 0 at x:6, y: 1
put 0 at x:7, y: 1
put 0 at x:8, y: 1
put 0 at x:9, y: 1
put 0 at x:10, y: 1
put 0 at x:11, y: 1
put 0 at x:12, y: 1
put 1 at x:13, y: 1
put 1 at x:14, y: 1
put 0 at x:0, y: 2
put 1 at x:1, y: 2
put 1 at x:2, y: 2
put 1 at x:3, y: 2
put 1 at x:4, y: 2
put 1 at x:5, y: 2
put 1 at x:6, y: 2
put 1 at x:7, y: 2
put 1 at x:8, y: 2
put 1 at x:9, y: 2
put 0 at x:10, y: 2
put 0 at x:11, y: 2
put 0 at x:12, y: 2
put 1 at x:13, y: 2
put 1 at x:14, y: 2
put 1 at x:0, y: 3
put 1 at x:1, y: 3
put 1 at x:2, y: 3
put   at x:3, y: 3
put   at x:4, y: 3
put 0 at x:5, y: 3
put 0 at x:6, y: 3
put 0 at x:7, y: 3
put 0 at x:8, y: 3
put 0 at x:9, y: 3
put 0 at x:10, y: 3
put 0 at x:11, y: 3
put 0 at x:12, y: 3
put 0 at x:13, y: 3
put 1 at x:14, y: 3
put 1 at x:15, y: 3
put 1 at x:0, y: 4
put 1 at x:1, y: 4
put 0 at x:2, y: 4
put 0 at x:3, y: 4
put N at x:4, y: 4
put 0 at x:5, y: 4
put 0 at x:6, y: 4
put 0 at x:7, y: 4
put 1 at x:8, y: 4
put 1 at x:9, y: 4
put 0 at x:10, y: 4
put 0 at x:11, y: 4
put 0 at x:12, y: 4
put 0 at x:13, y: 4
put 1 at x:14, y: 4
put 1 at x:15, y: 4
put 1 at x:0, y: 5
put 1 at x:1, y: 5
put 0 at x:2, y: 5
put 0 at x:3, y: 5
put 0 at x:4, y: 5
put 0 at x:5, y: 5
put 1 at x:6, y: 5
put 0 at x:7, y: 5
put 1 at x:8, y: 5
put 1 at x:9, y: 5
put 0 at x:10, y: 5
put 0 at x:11, y: 5
put 0 at x:12, y: 5
put 0 at x:13, y: 5
put 0 at x:14, y: 5
put 1 at x:15, y: 5
put 1 at x:0, y: 6
put 1 at x:1, y: 6
put 0 at x:2, y: 6
put 0 at x:3, y: 6
put 1 at x:4, y: 6
put 0 at x:5, y: 6
put 0 at x:6, y: 6
put 1 at x:7, y: 6
put 1 at x:8, y: 6
put 0 at x:9, y: 6
put 0 at x:10, y: 6
put 0 at x:11, y: 6
put 0 at x:12, y: 6
put 0 at x:13, y: 6
put 1 at x:14, y: 6
put 0 at x:15, y: 6
put 1 at x:0, y: 7
put 1 at x:1, y: 7
put 1 at x:2, y: 7
put 1 at x:3, y: 7
put 1 at x:4, y: 7
put 1 at x:5, y: 7
put 1 at x:6, y: 7
put 1 at x:7, y: 7
put 1 at x:8, y: 7
put 1 at x:9, y: 7
put 1 at x:10, y: 7
put 1 at x:11, y: 7
put 1 at x:12, y: 7
put 1 at x:13, y: 7
put 1 at x:0, y: 8
put 1 at x:1, y: 8
put 1 at x:2, y: 8
put 1 at x:3, y: 8
put 1 at x:4, y: 8
put 1 at x:5, y: 8
put 1 at x:6, y: 8
put 1 at x:7, y: 8
put 1 at x:8, y: 8
put 1 at x:9, y: 8
put 1 at x:10, y: 8
put 1 at x:11, y: 8
put 1 at x:12, y: 8
finished parsing
X: 185.000000
Y: 290.000000
put 1 at x:0, y: 0
put 1 at x:1, y: 0
put 1 at x:2, y: 0
put 1 at x:3, y: 0
put 1 at x:4, y: 0
put 1 at x:5, y: 0
put 1 at x:6, y: 0
put 1 at x:7, y: 0
put 1 at x:8, y: 0
put 1 at x:9, y: 0
put 1 at x:0, y: 1
put 1 at x:1, y: 1
put 0 at x:2, y: 1
put 0 at x:3, y: 1
put 1 at x:4, y: 1
put 0 at x:5, y: 1
put 0 at x:6, y: 1
put 0 at x:7, y: 1
put 0 at x:8, y: 1
put 0 at x:9, y: 1
put 0 at x:10, y: 1
put 0 at x:11, y: 1
put 0 at x:12, y: 1
put 1 at x:13, y: 1
put 1 at x:14, y: 1
put 0 at x:0, y: 2
put 1 at x:1, y: 2
put 1 at x:2, y: 2
put 1 at x:3, y: 2
put 1 at x:4, y: 2
put 1 at x:5, y: 2
put 1 at x:6, y: 2
put 1 at x:7, y: 2
put 1 at x:8, y: 2
put 1 at x:9, y: 2
put 0 at x:10, y: 2
put 0 at x:11, y: 2
put 0 at x:12, y: 2
put 1 at x:13, y: 2
put 1 at x:14, y: 2
put 1 at x:0, y: 3
put 1 at x:1, y: 3
put 1 at x:2, y: 3
put   at x:3, y: 3
put   at x:4, y: 3
put 0 at x:5, y: 3
put 0 at x:6, y: 3
put 0 at x:7, y: 3
put 0 at x:8, y: 3
put 0 at x:9, y: 3
put 0 at x:10, y: 3
put 0 at x:11, y: 3
put 0 at x:12, y: 3
put 0 at x:13, y: 3
put 1 at x:14, y: 3
put 1 at x:15, y: 3
put 1 at x:0, y: 4
put 1 at x:1, y: 4
put 0 at x:2, y: 4
put 0 at x:3, y: 4
put N at x:4, y: 4
put 0 at x:5, y: 4
put 0 at x:6, y: 4
put 0 at x:7, y: 4
put 1 at x:8, y: 4
put 1 at x:9, y: 4
put 0 at x:10, y: 4
put 0 at x:11, y: 4
put 0 at x:12, y: 4
put 0 at x:13, y: 4
put 1 at x:14, y: 4
put 1 at x:15, y: 4
put 1 at x:0, y: 5
put 1 at x:1, y: 5
put 0 at x:2, y: 5
put 0 at x:3, y: 5
put 0 at x:4, y: 5
put 0 at x:5, y: 5
put 1 at x:6, y: 5
put 0 at x:7, y: 5
put 1 at x:8, y: 5
put 1 at x:9, y: 5
put 0 at x:10, y: 5
put 0 at x:11, y: 5
put 0 at x:12, y: 5
put 0 at x:13, y: 5
put 0 at x:14, y: 5
put 1 at x:15, y: 5
put 1 at x:0, y: 6
put 1 at x:1, y: 6
put 0 at x:2, y: 6
put 0 at x:3, y: 6
put 1 at x:4, y: 6
put 0 at x:5, y: 6
put 0 at x:6, y: 6
put 1 at x:7, y: 6
put 1 at x:8, y: 6
put 0 at x:9, y: 6
put 0 at x:10, y: 6
put 0 at x:11, y: 6
put 0 at x:12, y: 6
put 0 at x:13, y: 6
put 1 at x:14, y: 6
put 0 at x:15, y: 6
put 1 at x:0, y: 7
put 1 at x:1, y: 7
put 1 at x:2, y: 7
put 1 at x:3, y: 7
put 1 at x:4, y: 7
put 1 at x:5, y: 7
put 1 at x:6, y: 7
put 1 at x:7, y: 7
put 1 at x:8, y: 7
put 1 at x:9, y: 7
put 1 at x:10, y: 7
put 1 at x:11, y: 7
put 1 at x:12, y: 7
put 1 at x:13, y: 7
put 1 at x:0, y: 8
put 1 at x:1, y: 8
put 1 at x:2, y: 8
put 1 at x:3, y: 8
put 1 at x:4, y: 8
put 1 at x:5, y: 8
put 1 at x:6, y: 8
put 1 at x:7, y: 8
put 1 at x:8, y: 8
put 1 at x:9, y: 8
put 1 at x:10, y: 8
put 1 at x:11, y: 8
put 1 at x:12, y: 8
finished parsing
X: 185.000000
Y: 305.000000
put 1 at x:0, y: 0
put 1 at x:1, y: 0
put 1 at x:2, y: 0
put 1 at x:3, y: 0
put 1 at x:4, y: 0
put 1 at x:5, y: 0
put 1 at x:6, y: 0
put 1 at x:7, y: 0
put 1 at x:8, y: 0
put 1 at x:9, y: 0
put 1 at x:0, y: 1
put 1 at x:1, y: 1
put 0 at x:2, y: 1
put 0 at x:3, y: 1
put 1 at x:4, y: 1
put 0 at x:5, y: 1
put 0 at x:6, y: 1
put 0 at x:7, y: 1
put 0 at x:8, y: 1
put 0 at x:9, y: 1
put 0 at x:10, y: 1
put 0 at x:11, y: 1
put 0 at x:12, y: 1
put 1 at x:13, y: 1
put 1 at x:14, y: 1
put 0 at x:0, y: 2
put 1 at x:1, y: 2
put 1 at x:2, y: 2
put 1 at x:3, y: 2
put 1 at x:4, y: 2
put 1 at x:5, y: 2
put 1 at x:6, y: 2
put 1 at x:7, y: 2
put 1 at x:8, y: 2
put 1 at x:9, y: 2
put 0 at x:10, y: 2
put 0 at x:11, y: 2
put 0 at x:12, y: 2
put 1 at x:13, y: 2
put 1 at x:14, y: 2
put 1 at x:0, y: 3
put 1 at x:1, y: 3
put 1 at x:2, y: 3
put   at x:3, y: 3
put   at x:4, y: 3
put 0 at x:5, y: 3
put 0 at x:6, y: 3
put 0 at x:7, y: 3
put 0 at x:8, y: 3
put 0 at x:9, y: 3
put 0 at x:10, y: 3
put 0 at x:11, y: 3
put 0 at x:12, y: 3
put 0 at x:13, y: 3
put 1 at x:14, y: 3
put 1 at x:15, y: 3
put 1 at x:0, y: 4
put 1 at x:1, y: 4
put 0 at x:2, y: 4
put 0 at x:3, y: 4
put N at x:4, y: 4
put 0 at x:5, y: 4
put 0 at x:6, y: 4
put 0 at x:7, y: 4
put 1 at x:8, y: 4
put 1 at x:9, y: 4
put 0 at x:10, y: 4
put 0 at x:11, y: 4
put 0 at x:12, y: 4
put 0 at x:13, y: 4
put 1 at x:14, y: 4
put 1 at x:15, y: 4
put 1 at x:0, y: 5
put 1 at x:1, y: 5
put 0 at x:2, y: 5
put 0 at x:3, y: 5
put 0 at x:4, y: 5
put 0 at x:5, y: 5
put 1 at x:6, y: 5
put 0 at x:7, y: 5
put 1 at x:8, y: 5
put 1 at x:9, y: 5
put 0 at x:10, y: 5
put 0 at x:11, y: 5
put 0 at x:12, y: 5
put 0 at x:13, y: 5
put 0 at x:14, y: 5
put 1 at x:15, y: 5
put 1 at x:0, y: 6
put 1 at x:1, y: 6
put 0 at x:2, y: 6
put 0 at x:3, y: 6
put 1 at x:4, y: 6
put 0 at x:5, y: 6
put 0 at x:6, y: 6
put 1 at x:7, y: 6
put 1 at x:8, y: 6
put 0 at x:9, y: 6
put 0 at x:10, y: 6
put 0 at x:11, y: 6
put 0 at x:12, y: 6
put 0 at x:13, y: 6
put 1 at x:14, y: 6
put 0 at x:15, y: 6
put 1 at x:0, y: 7
put 1 at x:1, y: 7
put 1 at x:2, y: 7
put 1 at x:3, y: 7
put 1 at x:4, y: 7
put 1 at x:5, y: 7
put 1 at x:6, y: 7
put 1 at x:7, y: 7
put 1 at x:8, y: 7
put 1 at x:9, y: 7
put 1 at x:10, y: 7
put 1 at x:11, y: 7
put 1 at x:12, y: 7
put 1 at x:13, y: 7
put 1 at x:0, y: 8
put 1 at x:1, y: 8
put 1 at x:2, y: 8
put 1 at x:3, y: 8
put 1 at x:4, y: 8
put 1 at x:5, y: 8
put 1 at x:6, y: 8
put 1 at x:7, y: 8
put 1 at x:8, y: 8
put 1 at x:9, y: 8
put 1 at x:10, y: 8
put 1 at x:11, y: 8
put 1 at x:12, y: 8
finished parsing
X: 170.000000
Y: 305.000000
put 1 at x:0, y: 0
put 1 at x:1, y: 0
put 1 at x:2, y: 0
put 1 at x:3, y: 0
put 1 at x:4, y: 0
put 1 at x:5, y: 0
put 1 at x:6, y: 0
put 1 at x:7, y: 0
put 1 at x:8, y: 0
put 1 at x:9, y: 0
put 1 at x:0, y: 1
put 1 at x:1, y: 1
put 0 at x:2, y: 1
put 0 at x:3, y: 1
put 1 at x:4, y: 1
put 0 at x:5, y: 1
put 0 at x:6, y: 1
put 0 at x:7, y: 1
put 0 at x:8, y: 1
put 0 at x:9, y: 1
put 0 at x:10, y: 1
put 0 at x:11, y: 1
put 0 at x:12, y: 1
put 1 at x:13, y: 1
put 1 at x:14, y: 1
put 0 at x:0, y: 2
put 1 at x:1, y: 2
put 1 at x:2, y: 2
put 1 at x:3, y: 2
put 1 at x:4, y: 2
put 1 at x:5, y: 2
put 1 at x:6, y: 2
put 1 at x:7, y: 2
put 1 at x:8, y: 2
put 1 at x:9, y: 2
put 0 at x:10, y: 2
put 0 at x:11, y: 2
put 0 at x:12, y: 2
put 1 at x:13, y: 2
put 1 at x:14, y: 2
put 1 at x:0, y: 3
put 1 at x:1, y: 3
put 1 at x:2, y: 3
put   at x:3, y: 3
put   at x:4, y: 3
put 0 at x:5, y: 3
put 0 at x:6, y: 3
put 0 at x:7, y: 3
put 0 at x:8, y: 3
put 0 at x:9, y: 3
put 0 at x:10, y: 3
put 0 at x:11, y: 3
put 0 at x:12, y: 3
put 0 at x:13, y: 3
put 1 at x:14, y: 3
put 1 at x:15, y: 3
put 1 at x:0, y: 4
put 1 at x:1, y: 4
put 0 at x:2, y: 4
put 0 at x:3, y: 4
put N at x:4, y: 4
put 0 at x:5, y: 4
put 0 at x:6, y: 4
put 0 at x:7, y: 4
put 1 at x:8, y: 4
put 1 at x:9, y: 4
put 0 at x:10, y: 4
put 0 at x:11, y: 4
put 0 at x:12, y: 4
put 0 at x:13, y: 4
put 1 at x:14, y: 4
put 1 at x:15, y: 4
put 1 at x:0, y: 5
put 1 at x:1, y: 5
put 0 at x:2, y: 5
put 0 at x:3, y: 5
put 0 at x:4, y: 5
put 0 at x:5, y: 5
put 1 at x:6, y: 5
put 0 at x:7, y: 5
put 1 at x:8, y: 5
put 1 at x:9, y: 5
put 0 at x:10, y: 5
put 0 at x:11, y: 5
put 0 at x:12, y: 5
put 0 at x:13, y: 5
put 0 at x:14, y: 5
put 1 at x:15, y: 5
put 1 at x:0, y: 6
put 1 at x:1, y: 6
put 0 at x:2, y: 6
put 0 at x:3, y: 6
put 1 at x:4, y: 6
put 0 at x:5, y: 6
put 0 at x:6, y: 6
put 1 at x:7, y: 6
put 1 at x:8, y: 6
put 0 at x:9, y: 6
put 0 at x:10, y: 6
put 0 at x:11, y: 6
put 0 at x:12, y: 6
put 0 at x:13, y: 6
put 1 at x:14, y: 6
put 0 at x:15, y: 6
put 1 at x:0, y: 7
put 1 at x:1, y: 7
put 1 at x:2, y: 7
put 1 at x:3, y: 7
put 1 at x:4, y: 7
put 1 at x:5, y: 7
put 1 at x:6, y: 7
